lambda_vac(A),Flux(10^-16^erg/s/cm2/{AA})
4000.0,0.06239228832520736
4000.32,0.0594323038979617
4000.6400000000003,0.05188584737445078
4000.9600000000005,0.04111993210281414
4001.2800000000007,0.029250066572384093
4001.600000000001,0.018466251075460974
4001.920000000001,0.0102670952583307
4002.240000000001,0.004984640310271638
4002.5600000000013,0.002101925729737867
4002.8800000000015,0.0007697012134909857
4003.2000000000016,0.00024131059879873144
4003.520000000002,6.414495984949845e-05
4003.840000000002,1.4274730113080289e-05
4004.160000000002,4.366197797538371e-08
4004.4800000000023,4.2281206124551334e-16
4004.8000000000025,2.4152146631732338e-32
4005.1200000000026,1.602371567975263e-20
4005.440000000003,5.630609166842593e-06
4005.760000000003,3.699996853902879e-05
4006.080000000003,0.00014780973436672197
4006.4000000000033,0.0004982726241974681
4006.7200000000034,0.0014573013316303755
4007.0400000000036,0.0036682877019488893
4007.3600000000038,0.008035107152377163
4007.680000000004,0.01534722306427353
4008.000000000004,0.025687435203028533
4008.3200000000043,0.03812104795350105
4008.6400000000044,0.05089031263247053
4008.9600000000046,0.06244958025152524
4009.2800000000047,0.07230139445346591
4009.600000000005,0.08081461571065422
4009.920000000005,0.0880474058625666
4010.2400000000052,0.09300092985537646
4010.5600000000054,0.09405467953314185
4010.8800000000056,0.09040640464539071
4011.2000000000057,0.08296861955816338
4011.520000000006,0.07385848751185543
4011.840000000006,0.06518443098705226
4012.160000000006,0.05805159605563685
4012.4800000000064,0.05251828000500424
4012.8000000000065,0.04817182723783152
4013.1200000000067,0.04478138130794429
4013.440000000007,0.042410704355945544
4013.760000000007,0.04131612015939861
4014.080000000007,0.041715468891027126
4014.4000000000074,0.04354300339475115
4014.7200000000075,0.04613969763995843
4015.0400000000077,0.048200083718215374
4015.360000000008,0.04850711099933555
4015.680000000008,0.04689520417333716
4016.000000000008,0.04455012140174352
4016.3200000000083,0.043034215924898554
4016.6400000000085,0.04295814747980842
4016.9600000000087,0.043663181716808226
4017.280000000009,0.043944733530170886
4017.600000000009,0.04299428394314412
4017.920000000009,0.04068021447771852
4018.2400000000093,0.037274593006230705
4018.5600000000095,0.033175872378523104
4018.8800000000097,0.0290136009920994
4019.20000000001,0.025781048877370375
4019.52000000001,0.02461381084321719
4019.84000000001,0.02611320471241393
4020.1600000000103,0.029888804381209305
4020.4800000000105,0.0345955490981631
4020.8000000000106,0.03864006341880047
4021.120000000011,0.04091438246495757
4021.440000000011,0.04122873810942188
4021.760000000011,0.039974386813369324
4022.0800000000113,0.037654315586148
4022.4000000000115,0.034500559133719126
4022.7200000000116,0.030580594892306582
4023.040000000012,0.02624121177481337
4023.360000000012,0.022342453914153026
4023.680000000012,0.020039834401397793
4024.0000000000123,0.020182889266220423
4024.3200000000124,0.02279415829977833
4024.6400000000126,0.026933394848506115
4024.9600000000128,0.03109557997459939
4025.280000000013,0.03377499044105296
4025.600000000013,0.03408707370906407
4025.9200000000133,0.03210235242838529
4026.2400000000134,0.028833781768572705
4026.5600000000136,0.025538896514682767
4026.8800000000138,0.023006154696654773
4027.200000000014,0.02121505088116888
4027.520000000014,0.01969272847401828
4027.8400000000142,0.018181022294111535
4028.1600000000144,0.017076107102118314
4028.4800000000146,0.01734793601227263
4028.8000000000147,0.01984442238874693
4029.120000000015,0.024543096730599234
4029.440000000015,0.030107431867010374
4029.760000000015,0.034460854602693804
4030.0800000000154,0.03585888761513895
4030.4000000000156,0.03380959092851139
4030.7200000000157,0.029119058595562432
4031.040000000016,0.02336855250246267
4031.360000000016,0.01810530209958318
4031.680000000016,0.014346769518284992
4032.0000000000164,0.012334849724823599
4032.3200000000165,0.011696745781649188
4032.6400000000167,0.011753177455773017
4032.960000000017,0.011916786873085864
4033.280000000017,0.011792658669395498
4033.600000000017,0.011122577260457518
4033.9200000000174,0.009749741389660437
4034.2400000000175,0.007754012639279181
4034.5600000000177,0.005485596862944203
4034.880000000018,0.003401204876127135
4035.200000000018,0.0018294372677598286
4035.520000000018,0.0008514728573585161
4035.8400000000183,0.0003389578098369439
4036.1600000000185,0.00011674082178669551
4036.4800000000187,3.457055601101377e-05
4036.800000000019,8.717467271401923e-06
4037.120000000019,6.707833654200348e-08
4037.440000000019,2.2988888945787182e-46
4037.7600000000193,9.236743617143633e-157
4038.0800000000195,2.3347190192442e-309
4038.4000000000196,0.0
4038.72000000002,0.0
4039.04000000002,0.0
4039.36000000002,2.562569999645095e-258
